Name,Shape,Price,Image,Link,Brand
Servo,Rectangular,160,,http://www.framesdirect.com/framesfp/Oakley-lfnarbl/r.html,Oakley
DY4585B,Rectangular,169.95,,http://www.lenscrafters.com/lc-us/dkny/679420307855,DKNY
RX5187,Rectangular,114,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-tdrble/r.html,RayBan
PS 03CV,Rectangular,173.71,,http://www.framesdirect.com/framesfp/Prada_Linea_Rossa-teljrf/r.html,Prada
BE2037,Rectangular,167.75,,http://www.framesdirect.com/framesfp/Burberry-tdsdkb/r.html,Burberry
DG3147P,Rectangular,152,,http://www.framesdirect.com/framesfp/Dolce_Gabbana-pakgneq/r.html,Dolce & Gabbana
LucyAnn,Rectangular,164,,http://www.framesdirect.com/framesfp/Kate_Spade-temdre/r.html,Kate Spade
PC 266A,Rectangular,67.48,,http://www.framesdirect.com/framesfp/Titmus-lbrctb/r.html,Titmus
Off Road 5015,Rectangular,75.4,,http://www.framesdirect.com/framesfp/Stetson-pakcngp/r.html,Stetson
Off Road 5021,Rectangular,75.4,,http://www.framesdirect.com/framesfp/Stetson-pakcobr/r.html,Stetson
TB5045,Rectangular,85.48,,http://www.framesdirect.com/framesfp/Timberland-pakfndn/r.html,Timberland
VO3862,Rectangular,91.64,,http://www.framesdirect.com/framesfp/Vogue-palasjm/r.html,Vogue
CA7346,Rectangular,130,,http://www.framesdirect.com/framesfp/Carrera-tcpgsg/r.html,Carrera
RX7071F,Rectangular,130,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-palcrds/r.html,RayBan
RX6299,Rectangular,130,,http://www.framesdirect.com/framesfp/Ray-Ban-lakaofrf/r.html,RayBan
J520,Rectangular,128.9,,http://www.framesdirect.com/framesfp/Jones_New_York-palaqfp/r.html,Jones New York
B213,Rectangular,128.41,,http://www.framesdirect.com/framesfp/Ted_Baker-pakgocm/r.html,Ted Baker
James Peak,Rectangular,128.02,,http://www.framesdirect.com/framesfp/Columbia-palcriq/r.html,Columbia
RX8680,Rimless,186,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-teljng/r.html,RayBan
TI 8600,Rimless,170.73,,http://www.framesdirect.com/framesfp/Charmant_Titanium-palakap/r.html,Charmant
Keel,Rimless,240,,http://www.framesdirect.com/framesfp/Oakley-pakgpap/r.html,Oakley
BB 495T,Rimless,156.35,,http://www.framesdirect.com/framesfp/Brooks_Brothers-teljsb/r.html,Brooks Brothers
DG1260,Rimless,208.25,,http://www.framesdirect.com/framesfp/Dolce_Gabbana-lakaoeoa/r.html,Dolce & Gabbana
REB 653,Rimless,121.88,,http://www.framesdirect.com/framesfp/Revolution-nbqaof/r.html,Revolution
TR 220,Rimless,126.39,,http://www.framesdirect.com/framesfp/Totally_Rimless-lakapioi/r.html,Totally Rimless
Dane,Round,155,,http://www.framesdirect.com/framesfp/Banana_Republic-paldnhq/r.html,Banana Republic
CH864/T,Round,120.13,,http://www.framesdirect.com/framesfp/Chesterfield-paldqbq/r.html,Chesterfield
EXT,Round,161.35,,http://www.framesdirect.com/framesfp/Titmus-scoil/r.html,Titmus
VO2887,Round,106.58,,http://www.framesdirect.com/framesfp/Vogue-lakaogld/r.html,Vogue
Pierce,Round,162.5,,http://www.framesdirect.com/framesfp/Spy-lakanbld/r.html,Spy
Kyla,Round,173,,http://www.framesdirect.com/framesfp/Kate_Spade-pakdrat/r.html,Kate Space
BE2161Q,Round,210.25,,http://www.framesdirect.com/framesfp/Burberry-lakandki/r.html,Burberry
V02866,Round,91.64,,http://www.framesdirect.com/framesfp/Vogue-lakamfma/r.html,Vogue
Fallon,Round,159.5,,http://www.framesdirect.com/framesfp/Kate_Spade-pakapbm/r.html,Kate Space
PO2996,Round,218.86,,http://www.framesdirect.com/framesfp/Persol-tdsgmc/r.html,Persol
1559 Urban Lite,Round,214.42,,http://www.framesdirect.com/framesfp/Silhouette-lakapcnj/r.html,Silhouette
PO9714VM,Round,250.99,,http://www.framesdirect.com/framesfp/Persol-lakapepg/r.html,Persol
REV 329,Round,181.88,,http://www.framesdirect.com/framesfp/Revolution-mineof/r.html,Revolution
VE3187,Round,193.25,,http://www.framesdirect.com/framesfp/Versace-lakandtj/r.html,Versace
Downshift,Round,180,,http://www.framesdirect.com/framesfp/Oakley-pakeoal/r.html,Oakley
REV 728,Round,181.88,,http://www.framesdirect.com/framesfp/Revolution-pakjshl/r.html,Revolution
BE2176,Round,172,,http://www.framesdirect.com/framesfp/Burberry-lakaqbsd/r.html,Burberry
Reinhardt,Round,137.89,,http://www.framesdirect.com/framesfp/Argyleculture-lakanbsj/r.html,ArgyleCulture
PO3050V,Square,218.86,,http://www.framesdirect.com/framesfp/Persol-palbljk/r.html,Persol
RX5287,Square,146,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-pakjrhn/r.html,RayBan
RX8901,Square,186,,http://www.framesdirect.com/framesfp/Ray-Ban-lakandtg/r.html,RayBan
Tailspin,Square,160,,http://www.framesdirect.com/framesfp/Oakley-palapet/r.html,Oakley
RX5206,Square,138,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-tdsjne/r.html,RayBan
RX5245,Square,114,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-teljob/r.html,RayBan
RX5268,Square,106,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-pakbsim/r.html,RayBan
PR16MV,Square,195.54,,http://www.framesdirect.com/framesfp/Prada-tdsgqe/r.html,Prada
Indie Travis,Square,65.31,,http://www.framesdirect.com/framesfp/Rembrand-tdkipg/r.html,Rembrand
Indie Howard,Square,65.31,,http://www.framesdirect.com/framesfp/Rembrand-palcmfo/r.html,Rembrand
Indie Adam,Square,65.31,,http://www.framesdirect.com/framesfp/Rembrand-palcmer/r.html,Rembrand
Off Road 5040,Square,75.4,,http://www.framesdirect.com/framesfp/Stetson-lakaqeoa/r.html,Stetson
AR 18641,Square,79.75,,http://www.framesdirect.com/framesfp/Aristar-lakakhrd/r.html,Aristar
MMJ451,Square,129.5,,http://www.framesdirect.com/framesfp/Marc_by_Marc_Jacobs-tdrhoc/r.html,Marc Jacobs
RX6298,Square,130,,http://www.framesdirect.com/framesfp/Ray-Ban-lakaofre/r.html,RayBan
TE4169,Square,127.03,,http://www.framesdirect.com/framesfp/Safilo_Team-pakhnbk/r.html,Safilo
BE2170,Square,152.88,,http://www.framesdirect.com/framesfp/Burberry-lakaoemh/r.html,Burberry
Ronstrong,Wire,121.25,,http://www.framesdirect.com/framesfp/Shuron-temika/r.html,Shuron
RX8680,Wire,186,,http://www.framesdirect.com/framesfp/Ray-Ban_RX-teljng/r.html,RayBan
Quadra,Wire,275.38,,http://www.framesdirect.com/framesfp/Savile_Row-tekani/r.html,Saville Row
TI 8172,Wire,133.23,,http://www.framesdirect.com/framesfp/Charmant_Titanium-mgsbpe/r.html,Charmant
BB 1027,Wire,121.07,,http://www.framesdirect.com/framesfp/Brooks_Brothers-lakaoeki/r.html,Brooks Brothers
SF2267,Wire,92.12,,http://www.framesdirect.com/framesfp/Sferoflex-lakaofte/r.html,Sferoflex
BB189,Wire,116.65,,http://www.framesdirect.com/framesfp/Brooks_Brothers-qcofm/r.html,Brooks Brothers
The Montgomery,Wire,160.55,,http://www.framesdirect.com/framesfp/Penguin-pakiqio/r.html,Penguin
MC0239Z,Wire,128.9,,http://www.framesdirect.com/framesfp/Magic_Clip-mhsfma/r.html,Magic Clip
REV 653,Wire,121.88,,http://www.framesdirect.com/framesfp/Revolution-nbqaof/r.html,Revolution
TE4119,Wire,117.4,,http://www.framesdirect.com/framesfp/Safilo_Team-tdmath/r.html,Safilo
301S,Wire,79.03,,http://www.framesdirect.com/framesfp/Titmus-lalakg/r.html,Titmus
